method,dataset,seed,k_used,n_pred,modularity,onmi,f1,note,error,secs
nfmcd_structure_only,fakeddit,1,10,10,0.4385062412247245,0.8325951496888002,0.9095704366543513,,,0.09
nfmcd_structure_only,fakeddit,2,10,10,0.37338005725352347,0.8175660382680203,0.8302133349413312,,,0.11
nfmcd_structure_only,amazon,1,4,4,0.7172353714661406,0.5535487568737809,0.7972215846095806,,,0.0
nfmcd_structure_only,amazon,0,4,4,0.7172353714661406,0.5535487568737809,0.7972215846095807,,,0.03
nfmcd_structure_only,amazon,2,4,4,0.7172353714661406,0.5535487568737809,0.7972215846095806,,,0.03
nfmcd_structure_only,dblp,1,8,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,,0.06
nfmcd_structure_only,dblp,2,8,8,0.8475776772909762,0.6702689982017619,0.7331002190599034,,,0.08
kmeans_content,crisismmd,1,7,7,0.1989244266278576,0.4064742121714391,0.5603964460777323,,,0.33
kmeans_content,crisismmd,0,7,7,0.20111718439393395,0.3943730374016603,0.5610033449335877,,,0.34
kmeans_content,crisismmd,2,7,7,0.21987580201939383,0.4209784745470222,0.6037258915449902,,,0.42
kmeans_content,pheme,0,9,9,0.26750039315123175,0.08652250524253047,0.3015546726246779,,,0.51
kmeans_content,pheme,1,9,9,0.29144765512213355,0.10975213170394671,0.31920040836886504,,,0.45
kmeans_content,pheme,2,9,9,0.28892219323213386,0.13146933646532954,0.34248325346167974,,,0.61
louvain,crisismmd,0,6,6,0.5373657018496237,0.5763871869900328,0.7152286011426329,,,0.12
kmeans_content,fakeddit,1,10,10,0.11747181848192807,0.05281184324661137,0.3080640691677653,,,0.53
louvain,crisismmd,1,7,7,0.5348812150920406,0.5336043897656694,0.6909389872845079,,,0.08
kmeans_content,fakeddit,0,10,10,0.1358541343951137,0.08148429537517676,0.27069755766412107,,,0.7
louvain,crisismmd,2,6,6,0.5352797328761504,0.5590786906111336,0.7232748244613503,,,0.11
kmeans_content,fakeddit,2,10,10,0.13111921789289857,0.08074720016748604,0.27483072454287527,,,0.55
louvain,fakeddit,0,6,6,0.4501480804297777,0.630828565951995,0.887446322743587,,,0.2
louvain,pheme,1,162,162,0.9842180391652389,0.0,0.26626153478470876,,,0.52
louvain,pheme,0,162,162,0.9842180391652389,0.0,0.26626153478470876,,,0.53
louvain,pheme,2,163,163,0.9842457736611393,0.0,0.26059781276312777,,,0.53
louvain,dblp,0,26,26,0.9192617043335325,0.3618974797476211,0.6509460607901514,,,0.11
louvain,dblp,1,28,28,0.9195997101462914,0.3524251782962686,0.6461903795923227,,,0.14
louvain,fakeddit,1,6,6,0.4511259251670453,0.6685839387881221,0.8949522173875257,,,0.34
louvain,amazon,0,8,8,0.7574490466798159,0.37321511147137953,0.6942280356141619,,,0.02
louvain,amazon,2,8,8,0.7574490466798159,0.37321511147137953,0.6942280356141619,,,0.03
louvain,amazon,1,8,8,0.7574490466798159,0.37321511147137953,0.6942280356141619,,,0.03
louvain,dblp,2,28,28,0.9198209301146187,0.35058284694097175,0.629210873475371,,,0.12
louvain,fakeddit,2,7,7,0.44826334773387194,0.6948810755712067,0.9183184744705358,,,0.25
spectral_graph+content,crisismmd,0,7,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,graph+10NN-content,,0.11
spectral_graph+content,crisismmd,1,7,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,graph+10NN-content,,0.12
spectral_graph+content,crisismmd,2,7,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,graph+10NN-content,,0.12
spectral_graph+content,fakeddit,0,10,10,0.36495366825268355,0.5550827656017339,0.7086974478858832,graph+10NN-content,,0.38
spectral_graph+content,pheme,0,9,9,0.37161126504412,0.37173659969718553,0.5390407947339645,graph+10NN-content,,0.81
spectral_graph+content,pheme,2,9,9,0.37638218843465615,0.37283580231775326,0.5402358664438359,graph+10NN-content,,0.72
spectral_graph+content,fakeddit,1,10,10,0.3665328857833608,0.558267171382854,0.7135813227392899,graph+10NN-content,,0.36
spectral_graph+content,pheme,1,9,9,0.37710874371289954,0.3730291283757452,0.5404408655323404,graph+10NN-content,,0.75
spectral_graph+content,dblp,0,8,8,0.825141855262408,0.6362767682313523,0.7375557084638132,graph-only,,0.16
spectral_graph+content,amazon,0,4,4,0.7144608809993426,0.6186401910049436,0.8343336843336844,graph-only,,0.01
spectral_graph+content,dblp,2,8,8,0.8237808132947907,0.6508921015717074,0.7482793850312857,graph-only,,0.17
spectral_graph+content,dblp,1,8,8,0.8291110055006329,0.6042176080907018,0.7235304577428769,graph-only,,0.17
spectral_graph+content,amazon,1,4,4,0.7144608809993426,0.6186401910049436,0.8343336843336844,graph-only,,0.02
spectral_graph+content,amazon,2,4,4,0.7144608809993426,0.6186401910049436,0.8343336843336844,graph-only,,0.02
spectral_graph+content,fakeddit,2,10,10,0.3624479068724976,0.5489359502033544,0.7063716959117723,graph+10NN-content,,0.27
fcm_structure_only,crisismmd,0,7,7,0.4831182712339944,0.5992508767181561,0.7111104559420166,,,0.05
fcm_structure_only,crisismmd,2,7,7,0.4746867678666017,0.6195965477507328,0.7145139349324098,,,0.03
fcm_structure_only,crisismmd,1,7,7,0.516106322896425,0.5491887431801526,0.7565386255900963,,,0.06
fcm_structure_only,fakeddit,0,10,10,0.37338005725352347,0.8175660382680203,0.8302133349413312,,,0.16
fcm_structure_only,pheme,2,9,9,0.8801347542443367,0.012861962632682689,0.2427673924662868,,,0.22
fcm_structure_only,fakeddit,1,10,10,0.4385062412247245,0.8325951496888002,0.9095704366543513,,,0.11
fcm_structure_only,fakeddit,2,10,10,0.37338005725352347,0.8175660382680203,0.8302133349413312,,,0.09
fcm_structure_only,pheme,0,9,9,0.8742463372024922,0.0,0.22212180670056972,,,0.34
fcm_structure_only,dblp,0,8,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,,0.08
fcm_structure_only,amazon,0,4,4,0.7172353714661406,0.5535487568737809,0.7972215846095807,,,0.0
fcm_structure_only,pheme,1,9,9,0.8821977286628049,0.0,0.25040085918184823,,,0.38
fcm_structure_only,amazon,1,4,4,0.7172353714661406,0.5535487568737809,0.7972215846095806,,,0.02
fcm_structure_only,amazon,2,4,4,0.7172353714661406,0.5535487568737809,0.7972215846095806,,,0.02
fcm_structure_only,dblp,1,8,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,,0.09
fcm_structure_only,dblp,2,8,8,0.8475776772909762,0.6702689982017619,0.7331002190599034,,,0.08
demon,pheme,0,0,0,-0.0013396646663407373,0.0,0.0,"cdlib demon(eps=0.25,min=3)",,1.75
demon,pheme,1,0,0,-0.0013396646663407373,0.0,0.0,"cdlib demon(eps=0.25,min=3)",,0.11
demon,crisismmd,0,47,47,0.15475867385430894,0.15034285227476185,0.23453800545366832,"cdlib demon(eps=0.25,min=3)",,2.02
demon,crisismmd,1,46,46,0.16061948544662252,0.13000819476934744,0.25347007912309644,"cdlib demon(eps=0.25,min=3)",,2.0
demon,pheme,2,0,0,-0.0013396646663407373,0.0,0.0,"cdlib demon(eps=0.25,min=3)",,0.12
demon,crisismmd,2,50,50,0.1543590264727848,0.14211125696654459,0.24087510809626617,"cdlib demon(eps=0.25,min=3)",,2.03
demon,dblp,0,84,84,0.7183631918205208,0.15861155175538055,0.4776376329214746,"cdlib demon(eps=0.25,min=3)",,0.53
demon,dblp,1,82,82,0.7020263095568595,0.157565600671852,0.47352445158226586,"cdlib demon(eps=0.25,min=3)",,0.48
demon,fakeddit,0,75,75,0.2326914400796235,0.2678148572927246,0.4432762283665067,"cdlib demon(eps=0.25,min=3)",,1.3
demon,amazon,0,12,12,0.5737639710716633,0.36221251840354896,0.6007559706762953,"cdlib demon(eps=0.25,min=3)",,0.05
demon,fakeddit,2,74,74,0.23474292773497543,0.26893560355384827,0.4642292526419718,"cdlib demon(eps=0.25,min=3)",,1.36
demon,amazon,1,12,12,0.5899408284023668,0.37455458607110836,0.6232388641269306,"cdlib demon(eps=0.25,min=3)",,0.06
demon,amazon,2,12,12,0.5737541091387245,0.37399467602644365,0.6232388641269306,"cdlib demon(eps=0.25,min=3)",,0.05
demon,fakeddit,1,70,70,0.234869338906743,0.2761796374469945,0.4764814945365097,"cdlib demon(eps=0.25,min=3)",,1.44
demon,dblp,2,82,82,0.7088266832715617,0.1618144860324231,0.47628548365364276,"cdlib demon(eps=0.25,min=3)",,0.5
slpa,crisismmd,1,44,44,0.3779651147685616,0.15515815767059737,0.4640304408450241,"cdlib slpa(t=21,r=0.1)",,0.58
slpa,crisismmd,0,39,39,0.4316331037475398,0.20589975261249005,0.5628525197825889,"cdlib slpa(t=21,r=0.1)",,0.62
slpa,crisismmd,2,50,50,0.4659589752811034,0.2073276401731834,0.5691993625020462,"cdlib slpa(t=21,r=0.1)",,0.67
slpa,pheme,0,232,232,0.9287725036667068,0.0,0.21659121389031605,"cdlib slpa(t=21,r=0.1)",,0.84
slpa,pheme,1,213,213,0.9335180529439725,0.0,0.23241853157058193,"cdlib slpa(t=21,r=0.1)",,0.86
slpa,pheme,2,218,218,0.9311390823009363,0.0,0.23377236359634143,"cdlib slpa(t=21,r=0.1)",,0.86
slpa,fakeddit,0,6,6,0.18868561755308577,0.15961441114626085,0.2729666453489164,"cdlib slpa(t=21,r=0.1)",,1.2
slpa,dblp,0,99,99,0.8351853725305055,0.11335864632753068,0.44306863862572,"cdlib slpa(t=21,r=0.1)",,0.5
slpa,fakeddit,1,9,9,0.18877414391428554,0.12400692923782342,0.21537816683311592,"cdlib slpa(t=21,r=0.1)",,1.16
slpa,amazon,0,15,15,0.6752596975673899,0.3087563757969868,0.6173897870944551,"cdlib slpa(t=21,r=0.1)",,0.05
slpa,amazon,1,13,13,0.7235765943458251,0.3268352352755818,0.6594303291234238,"cdlib slpa(t=21,r=0.1)",,0.03
slpa,amazon,2,11,11,0.7214299802761341,0.352787297087643,0.65438170142571,"cdlib slpa(t=21,r=0.1)",,0.06
slpa,dblp,1,101,101,0.8288833809364722,0.06712684475569453,0.3993130749151215,"cdlib slpa(t=21,r=0.1)",,0.52
slpa,dblp,2,93,93,0.8503333526778268,0.10260808605744098,0.4432859290182465,"cdlib slpa(t=21,r=0.1)",,0.55
slpa,fakeddit,2,5,5,0.19262523333128698,0.16888740508542677,0.3246669371830399,"cdlib slpa(t=21,r=0.1)",,1.09
nfmcd_linear_confidence,crisismmd,1,7,7,0.13526496025218634,0.18063816947033284,0.2888078033134229,"linear confidence c=(s+1)/2, replaces ANFIS",,3.02
nfmcd_linear_confidence,crisismmd,2,7,7,0.09801027272623439,0.03985250871748314,0.24674757292572164,"linear confidence c=(s+1)/2, replaces ANFIS",,3.02
nfmcd_linear_confidence,crisismmd,0,7,7,0.0674507509124323,0.13319975087936065,0.30263841261603436,"linear confidence c=(s+1)/2, replaces ANFIS",,3.08
fcm_content,crisismmd,0,7,7,0.057361437828569034,0.1357950122285454,0.31600669728911496,"fcm(content only, no structure)",,0.34
fcm_content,crisismmd,1,7,7,0.05596462787023902,0.06573819002606807,0.2596402015095037,"fcm(content only, no structure)",,0.34
fcm_content,crisismmd,2,7,7,0.029612061523230305,0.005359196826032919,0.2524996690260683,"fcm(content only, no structure)",,0.38
nfmcd_linear_confidence,fakeddit,0,10,10,0.2921599477208725,0.1392334974531506,0.1633979447801929,"linear confidence c=(s+1)/2, replaces ANFIS",,4.53
fcm_content,pheme,0,9,9,0.00519711997913423,0.006268118469139994,0.06913373584369308,"fcm(content only, no structure)",,0.78
fcm_content,pheme,1,9,9,0.004037582012232025,0.006876163891055942,0.07074545601967809,"fcm(content only, no structure)",,0.69
fcm_content,pheme,2,9,9,0.010150677975653288,0.007278704664704705,0.08517212856763581,"fcm(content only, no structure)",,0.73
fcm_content,fakeddit,0,10,10,0.1705337861512078,0.061031813559340176,0.19058037772998204,"fcm(content only, no structure)",,0.77
nfmcd_linear_confidence,fakeddit,1,10,10,0.27744407816232053,0.17873946049501654,0.1576919546182092,"linear confidence c=(s+1)/2, replaces ANFIS",,3.17
nfmcd_linear_confidence,fakeddit,2,10,10,0.2947709991883401,0.18925347629381828,0.15807470556111328,"linear confidence c=(s+1)/2, replaces ANFIS",,3.19
fcm_content,fakeddit,1,10,10,0.1260041696479906,0.0603272655599314,0.21632505776437574,"fcm(content only, no structure)",,0.66
fcm_content,fakeddit,2,10,10,0.18401286348260432,0.06460708567897455,0.19979342805299766,"fcm(content only, no structure)",,0.55
