variant,dataset,graph,seed,k_used,modularity,onmi,f1,error,secs
blend_a60,pheme,orig,2,9,0.7352006221968612,0.01686149966790862,0.18164853250710797,,7.8
agree_a50,crisismmd,orig,0,7,0.3704423725210619,0.7165183057087782,0.6212305606148553,,0.97
blend_a60,pheme,orig,0,9,0.8085714934819509,0.0,0.19721217370293487,,8.91
agree_a50,crisismmd,orig,1,7,0.34675310401864323,0.6543966861191505,0.5795997076185373,,0.97
agree_a50,crisismmd,orig,2,7,0.40265853261697887,0.7329335820456533,0.6379859458317202,,0.94
agree_a50,pheme,orig,0,9,0.8651647650342359,0.0,0.24983831226709954,,2.64
agree_a50,fakeddit,orig,0,10,0.33479583014306,0.5690404993171496,0.44019717399586245,,2.56
agree_a50,pheme,orig,1,9,0.8570915188206584,0.0,0.26870436471210807,,4.36
agree_a50,dblp,orig,0,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.08
agree_a50,dblp,orig,1,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.11
agree_a50,dblp,orig,2,8,0.8475776772909762,0.6702689982017619,0.7331002190599034,,0.08
agree_a50,amazon,orig,0,4,0.7172353714661406,0.5535487568737809,0.7972215846095807,,0.02
agree_a50,amazon,orig,1,4,0.7172353714661406,0.5535487568737809,0.7972215846095806,,0.02
agree_a50,amazon,orig,2,4,0.7172353714661406,0.5535487568737809,0.7972215846095806,,0.02
default_rank16,crisismmd,orig,0,7,0.3719536274322481,0.7587872490260358,0.6431645942664554,,0.34
agree_a50,fakeddit,orig,1,10,0.3386706684374445,0.6168249652037193,0.5514664484157524,,2.75
default_rank16,crisismmd,orig,1,7,0.4551391264471764,0.6957404851982161,0.7011065207021936,,0.34
default_rank16,crisismmd,orig,2,7,0.38121511295911387,0.7542355468927854,0.657422635823261,,0.36
agree_a50,fakeddit,orig,2,10,0.32167692925435576,0.6201456485706471,0.4201159315591993,,2.47
agree_a50,pheme,orig,2,9,0.8543142336088391,0.015056576023737778,0.2816022363559687,,6.12
default_rank16,fakeddit,orig,0,10,0.35073453436697943,0.7328147293718531,0.6877192323548633,,0.81
default_rank16,fakeddit,orig,1,10,0.3469052444828118,0.7345812032778278,0.6916385252122733,,0.66
default_rank16,pheme,orig,0,9,0.8651647650342359,0.0,0.24983831226709954,,2.81
default_rank16,dblp,orig,0,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.09
default_rank16,dblp,orig,1,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.08
default_rank16,dblp,orig,2,8,0.8475776772909762,0.6702689982017619,0.7331002190599034,,0.08
default_rank16,amazon,orig,0,4,0.7172353714661406,0.5535487568737809,0.7972215846095807,,0.02
default_rank16,amazon,orig,1,4,0.7172353714661406,0.5535487568737809,0.7972215846095806,,0.03
default_rank16,amazon,orig,2,4,0.7172353714661406,0.5535487568737809,0.7972215846095806,,0.0
default_rank16,fakeddit,orig,2,10,0.3501363435918779,0.7331160104821596,0.6869194107603495,,0.66
all_changes,crisismmd,orig,0,7,0.4491504402438575,0.7016987804810223,0.7229345578570907,,0.33
all_changes,crisismmd,orig,1,7,0.3759511890079628,0.7472249586473159,0.6422452845301211,,0.39
all_changes,crisismmd,orig,2,7,0.37647594976236826,0.7494009302511333,0.644190890426039,,0.39
default_rank16,pheme,orig,1,9,0.8570915188206584,0.0,0.26870436471210807,,4.58
default_rank16,pheme,orig,2,9,0.8543142336088391,0.015056576023737778,0.2816022363559687,,6.99
all_changes,fakeddit,orig,0,10,0.31004604077897563,0.7896012752764039,0.6435592975591472,,0.76
all_changes,pheme,orig,0,9,0.6259832100082584,0.01341905215874839,0.10915085284674629,,4.69
all_changes,fakeddit,orig,1,10,0.35270575170863394,0.7274186066257562,0.7599697409751406,,0.64
all_changes,dblp,orig,0,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.09
all_changes,dblp,orig,1,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.06
all_changes,dblp,orig,2,8,0.8475776772909762,0.6702689982017619,0.7331002190599034,,0.09
all_changes,fakeddit,orig,2,10,0.3038205605154235,0.7573246765460451,0.6954746845372658,,0.59
all_changes,amazon,orig,0,4,0.7172353714661406,0.5535487568737809,0.7972215846095807,,0.03
all_changes,amazon,orig,1,4,0.7172353714661406,0.5535487568737809,0.7972215846095806,,0.02
all_changes,amazon,orig,2,4,0.7172353714661406,0.5535487568737809,0.7972215846095806,,0.02
default,crisismmd,rewired50,1,7,0.2531205233165432,0.297080552906426,0.3256013902240317,,0.98
default,crisismmd,rewired50,0,7,0.2702651135845761,0.28918133069762575,0.3286227718583204,,1.02
default,crisismmd,rewired50,2,7,0.2590332336345077,0.23487413752949582,0.3321434259433199,,1.05
all_changes,pheme,orig,1,9,0.4902414405887266,0.019978479016791395,0.10883530421624427,,8.48
default,fakeddit,rewired50,0,10,0.2080000100142799,0.16089429395004207,0.13982940382198075,,2.7
default,fakeddit,rewired50,1,10,0.19578872649581797,0.18363032255176637,0.13562321105636235,,2.45
cons_a60,crisismmd,rewired50,0,7,0.30204765470265416,0.2452277451968352,0.4733788534344742,,1.16
all_changes,pheme,orig,2,9,0.49845291671006325,0.012244205612783499,0.0728396681035431,,9.69
default,fakeddit,rewired50,2,10,0.2033943427001611,0.25031134379816566,0.13242116140004798,,2.22
cons_a60,crisismmd,rewired50,1,7,0.30123850733993573,0.28354666112757565,0.5045022655571789,,1.03
cons_a60,crisismmd,rewired50,2,7,0.2879793347265313,0.24123281169927902,0.49151118931387955,,0.94
cons_a50,crisismmd,rewired50,0,7,0.30235446591149034,0.24541300533996235,0.47125237704053596,,1.12
cons_a60,fakeddit,rewired50,0,10,0.22794623537006567,0.1550832328630799,0.17964399162692135,,2.41
cons_a60,fakeddit,rewired50,1,10,0.234199891943882,0.26958573970148914,0.25185103154538,,2.39
cons_a50,crisismmd,rewired50,1,7,0.30168499117721664,0.2795629057903225,0.5098953498418016,,1.01
cons_a60,fakeddit,rewired50,2,10,0.22290153234471283,0.2251213413432518,0.1683485384107116,,2.48
cons_a50,crisismmd,rewired50,2,7,0.2733725314792651,0.3708502978320235,0.526441024058715,,1.05
blend_a60,crisismmd,rewired50,0,7,0.29795598092754255,0.2613707952163047,0.4830648141621099,,1.12
cons_a50,fakeddit,rewired50,1,10,0.2243462323606854,0.3110121911443632,0.2484887233828461,,2.42
cons_a50,fakeddit,rewired50,2,10,0.24888322146335878,0.27607346232680285,0.23974382009687253,,2.39
cons_a50,fakeddit,rewired50,0,10,0.2271207102499295,0.2757735545233524,0.2496246518529604,,2.58
blend_a60,crisismmd,rewired50,1,7,0.29763053136136863,0.23382488016903347,0.35231662643754963,,1.05
blend_a60,crisismmd,rewired50,2,7,0.29040501966315324,0.23544430483544687,0.4561190901487138,,0.95
agree_a50,crisismmd,rewired50,0,7,0.297606642467901,0.24410891271093216,0.4848541416817205,,1.11
blend_a60,fakeddit,rewired50,1,10,0.21192036486684598,0.12865905809177636,0.1788323491833498,,2.56
blend_a60,fakeddit,rewired50,0,10,0.21334092741060706,0.2113729648094136,0.1771703092536318,,2.64
agree_a50,crisismmd,rewired50,1,7,0.3154805552147007,0.3172161636743479,0.4638473461149362,,0.94
blend_a60,fakeddit,rewired50,2,10,0.22121852495760796,0.27649167716886214,0.13436521782165967,,2.44
agree_a50,crisismmd,rewired50,2,7,0.2881471636164538,0.23965315161075984,0.47768309629776046,,0.86
default_rank16,crisismmd,rewired50,0,7,0.296433555553036,0.30350058704260385,0.5531474850533289,,0.34
default_rank16,crisismmd,rewired50,1,7,0.29709815628365127,0.36877980865691473,0.5096893013599777,,0.39
default_rank16,crisismmd,rewired50,2,7,0.29390175121487155,0.3061907384190392,0.5386757162616883,,0.41
agree_a50,fakeddit,rewired50,0,10,0.20347072069516733,0.1926566639938232,0.18413873626112875,,2.45
default_rank16,fakeddit,rewired50,0,10,0.2026906325031251,0.1931115842655785,0.19894754817370042,,0.64
agree_a50,fakeddit,rewired50,2,10,0.223068261822531,0.14983110213662598,0.17685312128336167,,2.23
agree_a50,fakeddit,rewired50,1,10,0.2226231678542178,0.30739252014171603,0.24730371936087253,,2.55
all_changes,crisismmd,rewired50,0,7,0.29893732914054666,0.26069222805176784,0.4982158157863303,,0.3
default_rank16,fakeddit,rewired50,1,10,0.20434303008448287,0.2852029938662941,0.26379671718418274,,0.56
all_changes,crisismmd,rewired50,1,7,0.2967388606319863,0.29368023212350747,0.5221296579920346,,0.33
default_rank16,fakeddit,rewired50,2,10,0.19646270281807246,0.19613613687748743,0.18025272195463932,,0.69
all_changes,crisismmd,rewired50,2,7,0.2535787842527928,0.4289052140778602,0.5042794714273248,,0.38
all_changes,fakeddit,rewired50,0,10,0.22018105639580554,0.3359458298370388,0.25559592222542926,,0.58
all_changes,fakeddit,rewired50,1,10,0.21795498136557204,0.26331433005778515,0.2588993797478378,,0.55
all_changes,fakeddit,rewired50,2,10,0.2260016845522108,0.28180334306574994,0.25294784853577623,,0.53
